1: Villa Moderna en Cartagena | for-sale | ['/images/casa-moderna.jpg', '/images/gen_villa_int.png']
2: Apartamento Costa Mar Menor | for-sale | ['/images/apartamento-costa.jpg', '/images/gen_apt_int.png']
3: Casa Rural en Lorca | for-sale | ['/images/casa-rural.jpg', '/images/gen_house_int.png']
4: Chalet en Águilas Frente al Mar | for-sale | ['/images/chalet-aguilas.jpg', '/images/gen_villa_int.png']
5: Piso Céntrico Murcia Capital | for-sale | ['/images/piso-ciudad.jpg', '/images/gen_apt_int.png']
6: Villa en Torre Pacheco | for-sale | ['/images/apartamento-torre-pacheco.jpg', '/images/gen_villa_ext.png']
7: Ático en Molina de Segura | for-sale | ['/images/atico.jpg', '/images/gen_apt_ext.png']
8: Casa Adosada en Totana | for-sale | ['/images/casa-adosada.jpg', '/images/gen_house_ext.png']
9: Estudio Moderno Murcia Centro | for-sale | ['/images/estudio.jpg', '/images/gen_apt_int.png']
10: Dúplex Familiar Alcantarilla | for-sale | ['/images/duplex.jpg', '/images/gen_house_int.png']
11: Terreno Casillas | for-sale | ['/images/gen_house_ext.png', '/images/gen_house_int.png']
12: Atico de Lujo con Vistas al Centro | for-rent | ['/images/gen_apt_ext.png', '/images/gen_apt_int.png']
13: Chalet Independiente Familiar en Altorreal | reserved | ['/images/gen_villa_ext.png', '/images/gen_villa_int.png']
